"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"(co";0;0;0;0;0,00377227353477768;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"(jak";0;0;0;0,00487676803820358;0,00377227353477768;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(ma³e";0;0;0;0;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0,00904715184803227;0;0
"12.";0;0,00498148391632452;0;0;0;0;0;0,00375917536278193;0;0;0;0;0;0;0;0;0;0;0
"aby";0,00330543248584953;0,00362804859573446;0;0,00118392776997941;0,00183158163718069;0,00745035491155548;0,00243613561732118;0,00638827692551391;0;0;0;0;0;0,0125158078540681;0;0,00435633091053198;0,00658910218501077;0;0,00308006208908706
"akcja";0;0;0;0;0;0,00255742323893196;0;0;0,0477636399035821;0;0;0;0;0;0;0;0;0;0
"alastor";0,0020296989426238;0,0020421510833761;0;0;0;0;0;0,0030821354313917;0;0;0;0;0;0;0;0;0;0;0
"albo";0;0;0,00291034427619938;0;0;0;0;0;0;0,00627318024198452;0,00571451719468332;0;0;0;0;0;0;0;0
"albus";0,00428339846311659;0;0,00491350276162532;0;0,00261083334894725;0,0513306282597354;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusa";0;0,00816860433350438;0;0;0,00309287457923627;0,02516187413596;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusa,";0;0,00249074195816226;0;0;0;0,00511484647786391;0;0;0;0;0;0;0;0;0;0;0;0;0
